,Country,Number
0,France,17
1,United States,13
2,United Kingdom,11
3,Germany,10
4,Sweden,8
5,Poland,6
6,Spain,6
7,Italy,6
8,Ireland,4
9,Russia/USSR,4
10,Denmark,3
11,Norway,3
12,Chile,2
13,Greece,2
14,Japan,2
15,South Africa,2
16,Switzerland,2
17,Austria,2
18,Australia,1
19,Belarus,1
20,Belgium,1
21,Bulgaria,1
22,Canada,1
23,China,1
24,Colombia,1
25,Czechoslovakia,1
26,Egypt,1
27,Finland,1
28,Guatemala,1
29,Hungary,1
30,Iceland,1
31,India,1
32,Israel,1
33,Mauritius,1
34,Mexico,1
35,Nigeria,1
36,Peru,1
37,Portugal,1
38,Saint Lucia,1
39,Turkey,1
40,Yugoslavia,1
